subvolume_size,patch_size,n_layers,d_model,d_ff,n_heads,d_encoder,lr,modelsize,completed,msg,loss
128,64,256,16,128,8,64,0.0001,26.551971435546875,False,Not Completed,NA
128,64,64,64,16,8,256,1e-05,73.43869018554688,False,Not Completed,NA
32,1,128,256,32,16,128,5e-05,307.1193542480469,False,Not Completed,NA
64,2,256,128,128,8,8,0.0001,210.73947143554688,False,Not Completed,NA
32,2,128,16,256,16,32,0.001,9.659393310546875,False,Not Completed,NA
64,16,64,32,128,32,256,5e-05,6.777557373046875,False,Not Completed,NA
32,1,128,64,16,64,128,1e-05,26.694793701171875,False,Not Completed,NA
64,32,16,128,64,32,256,0.001,26.509002685546875,False,Not Completed,NA
64,16,128,32,256,32,128,1e-05,21.090057373046875,False,Not Completed,NA
64,32,256,32,32,16,16,0.001,16.663299560546875,False,Not Completed,NA
32,1,128,256,64,16,32,0.0001,323.0568542480469,False,Not Completed,NA
64,16,16,256,256,32,64,1e-05,53.149627685546875,False,Not Completed,NA
128,32,256,32,256,16,8,5e-05,45.106658935546875,False,Not Completed,NA
64,4,64,256,8,64,64,5e-05,135.96603393554688,False,Not Completed,NA
32,1,16,64,16,8,32,0.001,10.415496826171875,False,Not Completed,NA
64,4,64,16,32,8,128,0.0001,1.363983154296875,False,Not Completed,NA
64,32,8,64,8,32,32,1e-05,9.193084716796875,False,Not Completed,NA
32,8,128,64,128,16,32,1e-05,32.921112060546875,False,Not Completed,NA
64,4,16,256,64,32,8,1e-05,41.071502685546875,False,Not Completed,NA
32,16,16,32,64,16,8,1e-05,1.580291748046875,False,Not Completed,NA
32,8,64,32,32,16,64,1e-05,3.269744873046875,False,Not Completed,NA
128,16,8,128,256,32,128,0.001,10.630096435546875,True,Completed,1717.436883426737
32,8,8,32,256,16,128,0.001,1.404510498046875,False,Not Completed,NA
32,4,16,256,128,16,64,5e-05,41.634002685546875,False,Not Completed,NA
128,32,16,128,16,16,32,5e-05,24.921112060546875,False,Not Completed,NA
32,2,16,32,16,8,8,0.001,1.199432373046875,False,Not Completed,NA
32,2,8,64,256,64,8,0.001,4.139862060546875,False,Not Completed,NA
128,4,8,64,128,64,128,0.001,10.175018310546875,False,Not Completed,NA
