subvolume_size,patch_size,n_layers,d_model,d_ff,n_heads,d_encoder,lr,modelsize,completed,msg,dice_val_avg
128,32,64,32,128,32,128,0.0001,10.261932373046875,False,Not Completed,NA
128,64,256,64,8,32,128,5e-05,99.25900268554688,False,Not Completed,NA
128,16,32,64,8,32,128,1e-05,5.634002685546875,False,Not Completed,NA
128,64,16,256,128,16,256,5e-05,297.2668151855469,True,Completed,0.01325447770068422
128,16,16,128,16,8,16,0.0001,11.132049560546875,False,Not Completed,NA
128,16,128,128,32,32,8,1e-05,75.64181518554688,False,Not Completed,NA
128,64,128,64,256,16,16,0.0001,112.90353393554688,False,Not Completed,NA
128,32,32,64,32,8,64,5e-05,13.264862060546875,True,Completed,0.014058521580106268
128,64,32,16,64,8,64,1e-05,16.821502685546875,False,Not Completed,NA
128,64,128,256,16,64,256,1e-05,523.2355651855469,True,Completed,0.012920406026144823
128,32,128,64,64,16,256,5e-05,32.788299560546875,False,Not Completed,NA
128,16,32,256,256,32,8,0.0001,101.84494018554688,False,Not Completed,NA
128,32,16,32,32,8,8,1e-05,4.833221435546875,False,Not Completed,NA
128,16,8,256,16,16,32,5e-05,21.884979248046875,False,Not Completed,NA
128,32,128,256,256,8,128,0.0001,419.3996276855469,False,Not Completed,NA
128,16,128,256,64,64,8,5e-05,295.5324401855469,False,Not Completed,NA
128,16,16,128,128,16,64,1e-05,14.669158935546875,False,Not Completed,NA
128,64,128,128,256,128,8,5e-05,257.6144714355469,False,Not Completed,NA
128,16,32,64,8,64,32,1e-05,5.610565185546875,False,Not Completed,NA
128,32,128,32,256,16,128,0.0001,24.590057373046875,False,Not Completed,NA
128,16,128,64,16,16,128,0.0001,19.819549560546875,False,Not Completed,NA
128,32,256,32,256,16,64,5e-05,45.113494873046875,False,Not Completed,NA
128,32,16,16,64,16,128,1e-05,2.428436279296875,False,Not Completed,NA
128,16,32,128,256,128,16,1e-05,34.833221435546875,False,Not Completed,NA
128,16,16,64,16,16,256,1e-05,3.594940185546875,False,Not Completed,NA
128,16,32,256,32,8,128,1e-05,73.90744018554688,False,Not Completed,NA
128,16,32,128,64,64,128,5e-05,22.841033935546875,True,Completed,0.012388368893880397
128,16,128,16,32,16,64,5e-05,2.473358154296875,False,Not Completed,NA
128,32,64,16,64,16,32,5e-05,3.623748779296875,False,Not Completed,NA
128,32,16,256,128,16,32,1e-05,73.10275268554688,False,Not Completed,NA
128,16,128,8,16,8,64,1e-05,0.736785888671875,False,Not Completed,NA
128,64,16,128,16,128,8,1e-05,136.88204956054688,False,Not Completed,NA
128,32,128,64,16,32,32,5e-05,26.686737060546875,False,Not Completed,NA
128,16,64,32,128,8,128,0.0001,6.816619873046875,False,Not Completed,NA
128,64,256,32,64,16,32,5e-05,48.727752685546875,True,Completed,0.011608338973019272
128,32,64,32,256,32,64,0.0001,14.316619873046875,False,Not Completed,NA
128,32,8,128,32,16,8,1e-05,20.839080810546875,False,Not Completed,NA
128,16,64,256,256,16,128,0.0001,198.58712768554688,False,Not Completed,NA
128,16,8,8,8,8,16,1e-05,0.177703857421875,False,Not Completed,NA
128,16,128,16,32,8,256,5e-05,2.485076904296875,False,Not Completed,NA
128,16,64,64,16,64,32,5e-05,10.507049560546875,False,Not Completed,NA
128,16,32,256,256,64,128,0.0001,101.96212768554688,False,Not Completed,NA
128,64,8,64,8,32,256,0.0001,65.24777221679688,False,Not Completed,NA
128,32,32,32,128,32,64,0.0001,7.152557373046875,False,Not Completed,NA
128,64,256,128,64,16,64,5e-05,290.6418151855469,False,Not Completed,NA
128,64,16,32,128,16,16,0.0001,33.589080810546875,False,Not Completed,NA
