minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0., device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0., device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0., device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0., device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0., device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0., device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0., device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0., device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0., device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0., device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0., device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0., device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0., device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
minsubx, maxsubx, minout, maxout tensor(0., device='cuda:0') tensor(0., device='cuda:0') tensor(0., device='cuda:0', grad_fn=<MinBackward1>) tensor(0., device='cuda:0', grad_fn=<MaxBackward1>)
